Left Wing,Center Back,Center Forward,Left Back,Right Back
64+2,50+2,61+2,55+2,55+2
58+2,64+2,54+2,65+2,65+2
65+2,54+2,64+2,57+2,57+2
65+2,42+2,64+2,50+2,50+2
41+2,65+2,42+2,55+2,55+2
66+2,38+2,64+2,48+2,48+2
65+2,56+2,65+2,59+2,59+2
66+2,50+2,66+2,51+2,51+2
64+2,52+2,61+2,58+2,58+2
64+2,36+2,66+2,40+2,40+2
,,,,
66+2,39+2,64+2,47+2,47+2
43+2,65+2,44+2,58+2,58+2
,,,,
61+2,52+2,63+2,52+2,52+2
69+2,50+2,69+2,55+2,55+2
65+2,41+2,63+2,50+2,50+2
65+2,55+2,63+2,60+2,60+2
59+2,66+2,60+2,64+2,64+2
50+2,65+2,50+2,62+2,62+2
49+2,66+2,50+2,64+2,64+2
46+2,66+2,47+2,60+2,60+2
49+2,66+2,48+2,60+2,60+2
56+2,64+2,53+2,65+2,65+2
,,,,
60+2,66+2,62+2,62+2,62+2
42+2,66+2,41+2,62+2,62+2
56+2,64+2,57+2,63+2,63+2
66+2,57+2,66+2,60+2,60+2
67+2,43+2,66+2,50+2,50+2
67+2,36+2,64+2,49+2,49+2
67+2,46+2,67+2,49+2,49+2
,,,,
58+2,64+2,55+2,66+2,66+2
67+2,42+2,66+2,51+2,51+2
61+2,45+2,63+2,46+2,46+2
59+2,62+2,60+2,59+2,59+2
48+2,65+2,46+2,63+2,63+2
61+2,61+2,60+2,65+2,65+2
47+2,66+2,49+2,60+2,60+2
58+2,65+2,55+2,66+2,66+2
67+2,44+2,67+2,51+2,51+2
60+2,63+2,59+2,66+2,66+2
66+2,60+2,64+2,65+2,65+2
38+2,66+2,38+2,58+2,58+2
63+2,60+2,60+2,65+2,65+2
66+2,47+2,64+2,53+2,53+2
67+2,60+2,66+2,64+2,64+2
55+2,48+2,59+2,44+2,44+2
41+2,66+2,42+2,58+2,58+2
45+2,66+2,43+2,60+2,60+2
59+2,65+2,58+2,66+2,66+2
61+2,62+2,61+2,64+2,64+2
54+2,65+2,55+2,60+2,60+2
52+2,67+2,53+2,61+2,61+2
66+2,43+2,64+2,51+2,51+2
63+2,38+2,62+2,45+2,45+2
66+2,40+2,65+2,48+2,48+2
,,,,
61+2,64+2,58+2,66+2,66+2
62+2,63+2,60+2,66+2,66+2
60+2,43+2,63+2,44+2,44+2
66+2,46+2,66+2,49+2,49+2
59+2,64+2,57+2,66+2,66+2
67+2,47+2,64+2,57+2,57+2
62+2,65+2,63+2,63+2,63+2
52+2,65+2,47+2,65+2,65+2
66+2,48+2,65+2,53+2,53+2
65+2,61+2,64+2,63+2,63+2
64+2,44+2,65+2,48+2,48+2
64+2,62+2,64+2,63+2,63+2
66+2,45+2,66+2,49+2,49+2
60+2,46+2,61+2,45+2,45+2
62+2,60+2,60+2,65+2,65+2
63+2,37+2,64+2,44+2,44+2
61+2,37+2,65+2,40+2,40+2
64+2,50+2,64+2,51+2,51+2
60+2,47+2,62+2,45+2,45+2
57+2,63+2,58+2,64+2,64+2
67+2,42+2,65+2,48+2,48+2
58+2,68+2,59+2,64+2,64+2
66+2,61+2,64+2,65+2,65+2
38+2,66+2,39+2,59+2,59+2
63+2,37+2,65+2,40+2,40+2
64+2,59+2,64+2,61+2,61+2
61+2,64+2,59+2,65+2,65+2
55+2,64+2,54+2,63+2,63+2
66+2,59+2,65+2,60+2,60+2
60+2,66+2,61+2,64+2,64+2
39+2,66+2,41+2,56+2,56+2
63+2,63+2,63+2,64+2,64+2
59+2,64+2,57+2,66+2,66+2
67+2,39+2,67+2,44+2,44+2
66+2,45+2,65+2,52+2,52+2
66+2,58+2,64+2,59+2,59+2
52+2,66+2,53+2,61+2,61+2
52+2,68+2,49+2,65+2,65+2
67+2,61+2,67+2,64+2,64+2
58+2,65+2,56+2,66+2,66+2
63+2,66+2,62+2,66+2,66+2
63+2,68+2,62+2,66+2,66+2
60+2,63+2,58+2,66+2,66+2
55+2,64+2,52+2,65+2,65+2
61+2,64+2,61+2,63+2,63+2
69+2,50+2,68+2,57+2,57+2
61+2,37+2,63+2,38+2,38+2
58+2,66+2,57+2,65+2,65+2
60+2,60+2,59+2,65+2,65+2
,,,,
,,,,
66+2,37+2,63+2,48+2,48+2
63+2,64+2,63+2,66+2,66+2
66+2,48+2,66+2,55+2,55+2
58+2,62+2,54+2,65+2,65+2
64+2,64+2,65+2,64+2,64+2
67+2,43+2,67+2,51+2,51+2
64+2,39+2,64+2,45+2,45+2
67+2,52+2,67+2,54+2,54+2
66+2,50+2,65+2,57+2,57+2
63+2,62+2,61+2,66+2,66+2
41+2,65+2,40+2,60+2,60+2
43+2,65+2,42+2,59+2,59+2
66+2,44+2,65+2,53+2,53+2
66+2,48+2,64+2,54+2,54+2
63+2,57+2,62+2,61+2,61+2
67+2,36+2,66+2,45+2,45+2
58+2,65+2,57+2,64+2,64+2
62+2,62+2,62+2,66+2,66+2
62+2,63+2,63+2,63+2,63+2
66+2,42+2,64+2,52+2,52+2
59+2,67+2,58+2,66+2,66+2
64+2,39+2,65+2,45+2,45+2
66+2,42+2,67+2,47+2,47+2
,,,,
61+2,58+2,61+2,60+2,60+2
60+2,59+2,61+2,59+2,59+2
54+2,62+2,52+2,66+2,66+2
62+2,63+2,62+2,64+2,64+2
66+2,64+2,65+2,65+2,65+2
62+2,66+2,62+2,65+2,65+2
66+2,50+2,63+2,58+2,58+2
70+2,43+2,67+2,52+2,52+2
61+2,41+2,63+2,42+2,42+2
65+2,41+2,64+2,49+2,49+2
62+2,55+2,63+2,57+2,57+2
60+2,66+2,60+2,65+2,65+2
,,,,
61+2,62+2,58+2,65+2,65+2
57+2,63+2,57+2,63+2,63+2
59+2,65+2,58+2,65+2,65+2
42+2,65+2,46+2,57+2,57+2
59+2,66+2,60+2,64+2,64+2
45+2,65+2,44+2,60+2,60+2
62+2,39+2,64+2,41+2,41+2
,,,,
63+2,65+2,61+2,66+2,66+2
66+2,46+2,64+2,53+2,53+2
65+2,45+2,66+2,47+2,47+2
64+2,57+2,64+2,61+2,61+2
67+2,33+2,65+2,44+2,44+2
54+2,67+2,50+2,66+2,66+2
65+2,55+2,64+2,60+2,60+2
68+2,45+2,67+2,50+2,50+2
66+2,42+2,66+2,46+2,46+2
,,,,
66+2,55+2,65+2,59+2,59+2
56+2,62+2,52+2,65+2,65+2
60+2,41+2,63+2,40+2,40+2
67+2,54+2,66+2,58+2,58+2
68+2,40+2,67+2,48+2,48+2
67+2,47+2,67+2,52+2,52+2
63+2,54+2,61+2,59+2,59+2
61+2,63+2,61+2,63+2,63+2
62+2,61+2,62+2,62+2,62+2
66+2,63+2,65+2,66+2,66+2
61+2,64+2,58+2,65+2,65+2
59+2,66+2,59+2,65+2,65+2
64+2,38+2,65+2,43+2,43+2
65+2,65+2,65+2,66+2,66+2
65+2,55+2,64+2,60+2,60+2
53+2,62+2,53+2,63+2,63+2
66+2,46+2,65+2,49+2,49+2
,,,,
50+2,65+2,51+2,61+2,61+2
62+2,63+2,59+2,66+2,66+2
66+2,38+2,64+2,48+2,48+2
62+2,52+2,63+2,51+2,51+2
59+2,65+2,56+2,65+2,65+2
58+2,47+2,62+2,40+2,40+2
43+2,66+2,44+2,57+2,57+2
65+2,47+2,63+2,52+2,52+2
,,,,
57+2,65+2,55+2,66+2,66+2
67+2,41+2,67+2,46+2,46+2
55+2,66+2,52+2,69+2,69+2
63+2,52+2,64+2,53+2,53+2
57+2,62+2,53+2,65+2,65+2
37+2,66+2,38+2,57+2,57+2
66+2,49+2,64+2,56+2,56+2
59+2,65+2,57+2,66+2,66+2
54+2,66+2,54+2,63+2,63+2
54+2,66+2,51+2,65+2,65+2
66+2,47+2,66+2,52+2,52+2
61+2,65+2,60+2,66+2,66+2
66+2,42+2,65+2,50+2,50+2
68+2,43+2,68+2,50+2,50+2
53+2,63+2,54+2,62+2,62+2
54+2,65+2,54+2,62+2,62+2
67+2,45+2,68+2,49+2,49+2
57+2,65+2,56+2,63+2,63+2
66+2,48+2,66+2,51+2,51+2
56+2,67+2,57+2,62+2,62+2
66+2,44+2,65+2,52+2,52+2
67+2,41+2,67+2,46+2,46+2
63+2,48+2,64+2,51+2,51+2
55+2,64+2,52+2,66+2,66+2
56+2,63+2,57+2,61+2,61+2
,,,,
,,,,
65+2,51+2,64+2,52+2,52+2
64+2,41+2,65+2,44+2,44+2
63+2,60+2,63+2,62+2,62+2
44+2,66+2,46+2,57+2,57+2
65+2,45+2,67+2,49+2,49+2
59+2,42+2,62+2,41+2,41+2
65+2,60+2,65+2,60+2,60+2
52+2,66+2,51+2,63+2,63+2
62+2,61+2,60+2,65+2,65+2
67+2,41+2,65+2,50+2,50+2
61+2,65+2,63+2,63+2,63+2
65+2,41+2,66+2,44+2,44+2
60+2,65+2,58+2,65+2,65+2
66+2,63+2,66+2,65+2,65+2
65+2,58+2,64+2,59+2,59+2
60+2,67+2,60+2,65+2,65+2
,,,,
66+2,44+2,65+2,49+2,49+2
66+2,41+2,64+2,50+2,50+2
66+2,38+2,65+2,48+2,48+2
65+2,41+2,66+2,44+2,44+2
50+2,66+2,48+2,63+2,63+2
61+2,63+2,59+2,66+2,66+2
67+2,38+2,65+2,46+2,46+2
65+2,63+2,63+2,65+2,65+2
65+2,59+2,64+2,62+2,62+2
67+2,44+2,66+2,47+2,47+2
65+2,37+2,64+2,46+2,46+2
41+2,66+2,42+2,56+2,56+2
64+2,40+2,65+2,43+2,43+2
64+2,52+2,64+2,50+2,50+2
36+2,66+2,36+2,56+2,56+2
60+2,62+2,57+2,65+2,65+2
,,,,
61+2,40+2,62+2,41+2,41+2
54+2,67+2,51+2,65+2,65+2
64+2,59+2,62+2,66+2,66+2
38+2,65+2,40+2,57+2,57+2
66+2,41+2,64+2,46+2,46+2
65+2,52+2,63+2,60+2,60+2
61+2,58+2,61+2,58+2,58+2
48+2,66+2,45+2,64+2,64+2
63+2,54+2,64+2,55+2,55+2
57+2,66+2,56+2,64+2,64+2
60+2,66+2,58+2,66+2,66+2
58+2,64+2,57+2,66+2,66+2
42+2,65+2,43+2,57+2,57+2
65+2,46+2,63+2,51+2,51+2
,,,,
37+2,66+2,39+2,56+2,56+2
51+2,65+2,49+2,63+2,63+2
65+2,61+2,64+2,63+2,63+2
59+2,61+2,55+2,65+2,65+2
63+2,65+2,64+2,65+2,65+2
58+2,41+2,61+2,40+2,40+2
38+2,66+2,40+2,56+2,56+2
58+2,65+2,57+2,66+2,66+2
40+2,65+2,42+2,57+2,57+2
66+2,41+2,65+2,48+2,48+2
43+2,66+2,45+2,59+2,59+2
61+2,40+2,61+2,45+2,45+2
55+2,66+2,56+2,64+2,64+2
59+2,63+2,58+2,65+2,65+2
65+2,52+2,64+2,58+2,58+2
,,,,
66+2,39+2,66+2,44+2,44+2
62+2,41+2,63+2,43+2,43+2
58+2,67+2,58+2,65+2,65+2
,,,,
64+2,33+2,65+2,39+2,39+2
52+2,65+2,51+2,64+2,64+2
67+2,43+2,64+2,52+2,52+2
69+2,42+2,68+2,49+2,49+2
51+2,65+2,51+2,63+2,63+2
60+2,64+2,59+2,66+2,66+2
67+2,48+2,65+2,54+2,54+2
65+2,48+2,65+2,52+2,52+2
,,,,
42+2,65+2,42+2,59+2,59+2
,,,,
62+2,63+2,61+2,64+2,64+2
39+2,65+2,38+2,59+2,59+2
58+2,62+2,55+2,65+2,65+2
49+2,67+2,50+2,62+2,62+2
62+2,65+2,62+2,64+2,64+2
62+2,64+2,59+2,66+2,66+2
63+2,66+2,63+2,65+2,65+2
39+2,65+2,39+2,59+2,59+2
65+2,56+2,64+2,60+2,60+2
63+2,65+2,62+2,66+2,66+2
66+2,46+2,64+2,54+2,54+2
54+2,61+2,52+2,66+2,66+2
60+2,61+2,59+2,65+2,65+2
59+2,44+2,61+2,42+2,42+2
48+2,66+2,47+2,63+2,63+2
59+2,42+2,63+2,41+2,41+2
65+2,39+2,63+2,49+2,49+2
61+2,44+2,64+2,46+2,46+2
65+2,64+2,64+2,65+2,65+2
55+2,66+2,55+2,62+2,62+2
65+2,62+2,64+2,64+2,64+2
56+2,66+2,52+2,65+2,65+2
53+2,65+2,53+2,63+2,63+2
44+2,65+2,44+2,59+2,59+2
65+2,64+2,65+2,64+2,64+2
64+2,40+2,65+2,44+2,44+2
65+2,43+2,64+2,46+2,46+2
63+2,62+2,60+2,65+2,65+2
56+2,65+2,54+2,65+2,65+2
57+2,66+2,57+2,63+2,63+2
,,,,
63+2,61+2,63+2,64+2,64+2
66+2,46+2,67+2,51+2,51+2
,,,,
64+2,49+2,65+2,50+2,50+2
67+2,46+2,65+2,52+2,52+2
56+2,67+2,56+2,65+2,65+2
57+2,66+2,56+2,65+2,65+2
57+2,66+2,56+2,65+2,65+2
,,,,
59+2,65+2,58+2,66+2,66+2
64+2,61+2,64+2,62+2,62+2
66+2,58+2,65+2,61+2,61+2
61+2,56+2,61+2,59+2,59+2
62+2,65+2,61+2,66+2,66+2
66+2,44+2,64+2,53+2,53+2
66+2,49+2,66+2,52+2,52+2
62+2,65+2,61+2,66+2,66+2
64+2,52+2,66+2,52+2,52+2
64+2,39+2,62+2,48+2,48+2
66+2,45+2,65+2,52+2,52+2
63+2,38+2,64+2,43+2,43+2
63+2,65+2,62+2,65+2,65+2
63+2,46+2,64+2,47+2,47+2
66+2,42+2,64+2,46+2,46+2
42+2,65+2,42+2,59+2,59+2
66+2,59+2,66+2,62+2,62+2
47+2,66+2,45+2,61+2,61+2
67+2,46+2,65+2,49+2,49+2
41+2,65+2,41+2,59+2,59+2
65+2,62+2,64+2,65+2,65+2
68+2,36+2,66+2,47+2,47+2
66+2,41+2,64+2,50+2,50+2
60+2,43+2,63+2,42+2,42+2
60+2,64+2,59+2,63+2,63+2
58+2,68+2,59+2,63+2,63+2
59+2,65+2,56+2,66+2,66+2
66+2,53+2,66+2,58+2,58+2
55+2,66+2,58+2,60+2,60+2
44+2,66+2,45+2,57+2,57+2
52+2,65+2,52+2,63+2,63+2
62+2,35+2,65+2,39+2,39+2
65+2,57+2,64+2,61+2,61+2
67+2,42+2,65+2,48+2,48+2
57+2,63+2,54+2,65+2,65+2
37+2,66+2,39+2,57+2,57+2
67+2,39+2,67+2,46+2,46+2
39+2,65+2,40+2,58+2,58+2
45+2,66+2,47+2,57+2,57+2
67+2,37+2,64+2,48+2,48+2
65+2,40+2,63+2,50+2,50+2
58+2,65+2,59+2,63+2,63+2
67+2,47+2,66+2,54+2,54+2
50+2,65+2,51+2,62+2,62+2
45+2,65+2,44+2,61+2,61+2
,,,,
61+2,65+2,61+2,63+2,63+2
,,,,
62+2,37+2,63+2,41+2,41+2
57+2,44+2,62+2,41+2,41+2
55+2,47+2,61+2,41+2,41+2
49+2,66+2,48+2,61+2,61+2
68+2,47+2,67+2,55+2,55+2
66+2,46+2,65+2,54+2,54+2
47+2,68+2,46+2,65+2,65+2
61+2,46+2,64+2,46+2,46+2
67+2,34+2,63+2,46+2,46+2
45+2,66+2,45+2,60+2,60+2
65+2,36+2,65+2,45+2,45+2
63+2,45+2,61+2,51+2,51+2
58+2,64+2,59+2,62+2,62+2
66+2,37+2,65+2,47+2,47+2
63+2,51+2,64+2,52+2,52+2
52+2,66+2,52+2,62+2,62+2
65+2,50+2,62+2,57+2,57+2
50+2,66+2,50+2,62+2,62+2
59+2,64+2,58+2,65+2,65+2
58+2,64+2,61+2,61+2,61+2
63+2,58+2,64+2,60+2,60+2
66+2,62+2,64+2,65+2,65+2
61+2,37+2,63+2,40+2,40+2
59+2,65+2,59+2,65+2,65+2
43+2,65+2,44+2,58+2,58+2
61+2,63+2,60+2,65+2,65+2
60+2,63+2,58+2,66+2,66+2
54+2,67+2,54+2,63+2,63+2
65+2,62+2,63+2,66+2,66+2
65+2,49+2,64+2,53+2,53+2
67+2,34+2,66+2,43+2,43+2
61+2,63+2,60+2,65+2,65+2
65+2,40+2,65+2,44+2,44+2
59+2,62+2,57+2,66+2,66+2
66+2,55+2,65+2,59+2,59+2
66+2,39+2,64+2,48+2,48+2
62+2,64+2,61+2,65+2,65+2
66+2,41+2,64+2,49+2,49+2
61+2,64+2,59+2,65+2,65+2
61+2,44+2,63+2,44+2,44+2
62+2,65+2,63+2,63+2,63+2
,,,,
67+2,38+2,66+2,45+2,45+2
65+2,41+2,64+2,49+2,49+2
60+2,64+2,58+2,66+2,66+2
65+2,41+2,65+2,48+2,48+2
62+2,53+2,64+2,54+2,54+2
62+2,61+2,58+2,66+2,66+2
39+2,66+2,40+2,60+2,60+2
55+2,65+2,54+2,66+2,66+2
58+2,63+2,56+2,65+2,65+2
65+2,63+2,63+2,65+2,65+2
,,,,
64+2,60+2,64+2,60+2,60+2
60+2,45+2,63+2,46+2,46+2
38+2,65+2,38+2,59+2,59+2
49+2,65+2,48+2,62+2,62+2
66+2,58+2,66+2,58+2,58+2
65+2,61+2,63+2,65+2,65+2
67+2,49+2,66+2,53+2,53+2
,,,,
55+2,66+2,57+2,62+2,62+2
48+2,66+2,46+2,63+2,63+2
60+2,47+2,62+2,46+2,46+2
61+2,62+2,59+2,65+2,65+2
66+2,48+2,65+2,54+2,54+2
63+2,65+2,62+2,66+2,66+2
60+2,63+2,60+2,64+2,64+2
59+2,65+2,58+2,65+2,65+2
,,,,
62+2,62+2,62+2,64+2,64+2
64+2,46+2,62+2,51+2,51+2
53+2,66+2,52+2,64+2,64+2
58+2,61+2,54+2,65+2,65+2
60+2,64+2,59+2,63+2,63+2
56+2,63+2,54+2,65+2,65+2
68+2,43+2,66+2,51+2,51+2
66+2,42+2,65+2,51+2,51+2
64+2,63+2,64+2,64+2,64+2
60+2,67+2,61+2,63+2,63+2
65+2,55+2,63+2,59+2,59+2
59+2,66+2,59+2,66+2,66+2
63+2,43+2,64+2,49+2,49+2
63+2,48+2,63+2,51+2,51+2
60+2,65+2,59+2,66+2,66+2
65+2,62+2,64+2,64+2,64+2
51+2,66+2,50+2,63+2,63+2
58+2,63+2,56+2,65+2,65+2
41+2,65+2,42+2,57+2,57+2
66+2,51+2,64+2,56+2,56+2
42+2,65+2,43+2,59+2,59+2
65+2,50+2,65+2,55+2,55+2
45+2,66+2,45+2,61+2,61+2
47+2,66+2,47+2,58+2,58+2
65+2,54+2,64+2,61+2,61+2
57+2,65+2,55+2,66+2,66+2
56+2,64+2,53+2,66+2,66+2
59+2,38+2,62+2,39+2,39+2
68+2,39+2,66+2,49+2,49+2
61+2,45+2,63+2,45+2,45+2
61+2,66+2,61+2,64+2,64+2
61+2,64+2,60+2,66+2,66+2
67+2,53+2,66+2,57+2,57+2
43+2,65+2,45+2,59+2,59+2
59+2,66+2,61+2,63+2,63+2
67+2,36+2,66+2,45+2,45+2
65+2,61+2,62+2,65+2,65+2
63+2,60+2,62+2,66+2,66+2
66+2,40+2,63+2,48+2,48+2
67+2,47+2,67+2,48+2,48+2
59+2,49+2,62+2,48+2,48+2
59+2,67+2,58+2,66+2,66+2
66+2,54+2,65+2,56+2,56+2
60+2,66+2,59+2,66+2,66+2
56+2,66+2,54+2,66+2,66+2
,,,,
61+2,59+2,57+2,66+2,66+2
68+2,52+2,66+2,57+2,57+2
64+2,58+2,65+2,59+2,59+2
42+2,65+2,41+2,58+2,58+2
54+2,67+2,52+2,65+2,65+2
55+2,66+2,54+2,65+2,65+2
,,,,
47+2,65+2,48+2,59+2,59+2
63+2,66+2,62+2,66+2,66+2
67+2,44+2,65+2,49+2,49+2
53+2,65+2,52+2,64+2,64+2
43+2,66+2,43+2,59+2,59+2
60+2,60+2,61+2,61+2,61+2
,,,,
66+2,50+2,65+2,56+2,56+2
62+2,64+2,62+2,65+2,65+2
44+2,66+2,44+2,61+2,61+2
64+2,50+2,64+2,54+2,54+2
65+2,48+2,63+2,56+2,56+2
63+2,50+2,63+2,50+2,50+2
50+2,65+2,51+2,62+2,62+2
60+2,63+2,58+2,65+2,65+2
,,,,
49+2,66+2,48+2,63+2,63+2
66+2,36+2,65+2,42+2,42+2
65+2,54+2,61+2,58+2,58+2
49+2,65+2,50+2,60+2,60+2
64+2,63+2,63+2,66+2,66+2
63+2,68+2,63+2,66+2,66+2
65+2,65+2,64+2,66+2,66+2
,,,,
62+2,64+2,60+2,66+2,66+2
50+2,66+2,51+2,60+2,60+2
,,,,
63+2,71+2,62+2,69+2,69+2
63+2,45+2,63+2,51+2,51+2
59+2,67+2,59+2,65+2,65+2
62+2,41+2,63+2,41+2,41+2
66+2,36+2,65+2,46+2,46+2
52+2,66+2,53+2,61+2,61+2
63+2,63+2,62+2,65+2,65+2
63+2,68+2,61+2,67+2,67+2
63+2,49+2,65+2,52+2,52+2
,,,,
64+2,59+2,64+2,61+2,61+2
67+2,40+2,66+2,49+2,49+2
64+2,35+2,66+2,41+2,41+2
64+2,45+2,65+2,47+2,47+2
65+2,65+2,64+2,65+2,65+2
65+2,60+2,65+2,62+2,62+2
50+2,66+2,51+2,61+2,61+2
66+2,36+2,64+2,47+2,47+2
65+2,48+2,64+2,54+2,54+2
49+2,65+2,47+2,63+2,63+2
63+2,62+2,58+2,65+2,65+2
57+2,64+2,57+2,62+2,62+2
58+2,66+2,61+2,62+2,62+2
55+2,66+2,57+2,62+2,62+2
54+2,43+2,59+2,34+2,34+2
59+2,51+2,61+2,48+2,48+2
57+2,65+2,57+2,65+2,65+2
63+2,52+2,64+2,56+2,56+2
67+2,45+2,66+2,51+2,51+2
65+2,41+2,64+2,48+2,48+2
49+2,66+2,48+2,60+2,60+2
56+2,63+2,52+2,66+2,66+2
40+2,65+2,41+2,58+2,58+2
66+2,50+2,63+2,57+2,57+2
66+2,54+2,65+2,59+2,59+2
67+2,35+2,66+2,44+2,44+2
41+2,65+2,41+2,55+2,55+2
47+2,67+2,50+2,61+2,61+2
37+2,65+2,38+2,55+2,55+2
67+2,59+2,67+2,57+2,57+2
62+2,43+2,64+2,46+2,46+2
67+2,46+2,66+2,51+2,51+2
46+2,65+2,49+2,57+2,57+2
67+2,40+2,66+2,47+2,47+2
40+2,65+2,40+2,58+2,58+2
,,,,
57+2,66+2,56+2,64+2,64+2
58+2,63+2,57+2,64+2,64+2
62+2,66+2,61+2,65+2,65+2
66+2,51+2,65+2,57+2,57+2
66+2,43+2,64+2,52+2,52+2
59+2,68+2,59+2,65+2,65+2
67+2,38+2,65+2,49+2,49+2
57+2,68+2,58+2,62+2,62+2
64+2,59+2,63+2,61+2,61+2
66+2,63+2,63+2,65+2,65+2
,,,,
60+2,65+2,60+2,64+2,64+2
65+2,55+2,63+2,59+2,59+2
44+2,66+2,44+2,61+2,61+2
65+2,60+2,64+2,62+2,62+2
64+2,64+2,63+2,66+2,66+2
60+2,43+2,62+2,44+2,44+2
61+2,61+2,59+2,65+2,65+2
60+2,63+2,59+2,64+2,64+2
66+2,52+2,65+2,58+2,58+2
65+2,58+2,64+2,60+2,60+2
43+2,66+2,42+2,61+2,61+2
64+2,43+2,65+2,42+2,42+2
62+2,63+2,60+2,66+2,66+2
,,,,
59+2,63+2,55+2,65+2,65+2
60+2,63+2,58+2,66+2,66+2
62+2,64+2,60+2,66+2,66+2
64+2,45+2,65+2,47+2,47+2
,,,,
67+2,40+2,66+2,46+2,46+2
65+2,55+2,64+2,60+2,60+2
66+2,46+2,65+2,52+2,52+2
64+2,48+2,65+2,51+2,51+2
67+2,34+2,65+2,49+2,49+2
65+2,40+2,64+2,48+2,48+2
65+2,48+2,63+2,54+2,54+2
52+2,67+2,53+2,62+2,62+2
45+2,66+2,45+2,61+2,61+2
52+2,65+2,51+2,64+2,64+2
61+2,61+2,61+2,65+2,65+2
66+2,46+2,65+2,52+2,52+2
67+2,60+2,67+2,58+2,58+2
66+2,40+2,65+2,49+2,49+2
54+2,65+2,52+2,65+2,65+2
64+2,57+2,64+2,58+2,58+2
46+2,64+2,44+2,60+2,60+2
65+2,43+2,63+2,50+2,50+2
65+2,49+2,67+2,51+2,51+2
40+2,64+2,44+2,52+2,52+2
57+2,65+2,58+2,62+2,62+2
60+2,42+2,62+2,43+2,43+2
61+2,63+2,59+2,64+2,64+2
66+2,31+2,64+2,44+2,44+2
57+2,66+2,56+2,64+2,64+2
64+2,62+2,65+2,61+2,61+2
45+2,64+2,44+2,61+2,61+2
65+2,47+2,65+2,51+2,51+2
59+2,63+2,59+2,61+2,61+2
61+2,60+2,62+2,56+2,56+2
39+2,64+2,41+2,59+2,59+2
64+2,55+2,62+2,60+2,60+2
65+2,43+2,63+2,50+2,50+2
62+2,44+2,64+2,43+2,43+2
59+2,43+2,61+2,42+2,42+2
65+2,45+2,64+2,52+2,52+2
46+2,65+2,46+2,61+2,61+2
65+2,64+2,63+2,66+2,66+2
59+2,64+2,59+2,64+2,64+2
60+2,65+2,60+2,63+2,63+2
36+2,64+2,38+2,56+2,56+2
64+2,63+2,63+2,65+2,65+2
46+2,65+2,47+2,58+2,58+2
64+2,40+2,63+2,46+2,46+2
48+2,64+2,46+2,62+2,62+2
56+2,66+2,55+2,64+2,64+2
64+2,47+2,62+2,53+2,53+2
61+2,65+2,60+2,65+2,65+2
65+2,60+2,63+2,65+2,65+2
65+2,42+2,65+2,49+2,49+2
56+2,66+2,55+2,65+2,65+2
47+2,65+2,46+2,60+2,60+2
65+2,42+2,66+2,47+2,47+2
60+2,41+2,61+2,41+2,41+2
60+2,63+2,59+2,64+2,64+2
64+2,45+2,62+2,51+2,51+2
43+2,65+2,43+2,54+2,54+2
58+2,46+2,61+2,42+2,42+2
56+2,62+2,57+2,61+2,61+2
56+2,44+2,59+2,40+2,40+2
61+2,62+2,61+2,63+2,63+2
55+2,62+2,53+2,64+2,64+2
54+2,65+2,52+2,65+2,65+2
39+2,65+2,39+2,58+2,58+2
35+2,65+2,36+2,55+2,55+2
63+2,44+2,62+2,46+2,46+2
59+2,64+2,59+2,63+2,63+2
54+2,68+2,53+2,65+2,65+2
50+2,66+2,48+2,65+2,65+2
60+2,48+2,62+2,45+2,45+2
65+2,57+2,66+2,58+2,58+2
66+2,46+2,65+2,52+2,52+2
40+2,65+2,41+2,58+2,58+2
43+2,65+2,43+2,58+2,58+2
66+2,44+2,65+2,49+2,49+2
64+2,54+2,64+2,59+2,59+2
66+2,63+2,64+2,65+2,65+2
64+2,60+2,65+2,59+2,59+2
64+2,42+2,62+2,50+2,50+2
65+2,32+2,63+2,41+2,41+2
65+2,40+2,63+2,48+2,48+2
67+2,47+2,67+2,53+2,53+2
57+2,63+2,57+2,62+2,62+2
61+2,44+2,62+2,46+2,46+2
60+2,46+2,61+2,47+2,47+2
34+2,65+2,35+2,54+2,54+2
65+2,37+2,65+2,42+2,42+2
66+2,58+2,66+2,61+2,61+2
62+2,45+2,63+2,47+2,47+2
64+2,48+2,62+2,57+2,57+2
47+2,64+2,45+2,61+2,61+2
,,,,
48+2,65+2,47+2,62+2,62+2
,,,,
66+2,46+2,66+2,49+2,49+2
,,,,
65+2,39+2,63+2,49+2,49+2
44+2,65+2,45+2,61+2,61+2
61+2,62+2,60+2,65+2,65+2
41+2,65+2,42+2,59+2,59+2
64+2,58+2,63+2,62+2,62+2
62+2,41+2,63+2,40+2,40+2
46+2,65+2,45+2,61+2,61+2
60+2,60+2,57+2,65+2,65+2
60+2,61+2,60+2,63+2,63+2
63+2,61+2,61+2,65+2,65+2
50+2,68+2,49+2,62+2,62+2
65+2,41+2,63+2,45+2,45+2
58+2,62+2,57+2,64+2,64+2
64+2,46+2,63+2,54+2,54+2
67+2,39+2,66+2,45+2,45+2
57+2,61+2,53+2,65+2,65+2
48+2,64+2,47+2,58+2,58+2
60+2,64+2,59+2,64+2,64+2
48+2,65+2,49+2,60+2,60+2
66+2,42+2,64+2,49+2,49+2
60+2,59+2,56+2,64+2,64+2
66+2,47+2,65+2,52+2,52+2
60+2,62+2,57+2,64+2,64+2
